CX Calls Call Started Date,CX Calls Call Started Hour of Day,calls,emails,chats,sms,orders
1/23/2016,13,601,1241,81,0,977
1/23/2016,0,5,281,0,0,113
1/23/2016,1,1,161,0,0,89
1/23/2016,15,441,1369,41,0,1305
1/23/2016,5,1,105,0,0,5
1/23/2016,8,25,349,0,0,69
1/23/2016,23,1,401,0,0,149
1/23/2016,14,633,1249,77,0,1221
1/23/2016,7,1,113,0,0,29
1/23/2016,17,389,1121,89,0,1305
1/23/2016,9,161,785,0,0,145
1/23/2016,11,589,1137,61,0,565
1/23/2016,3,0,77,0,0,29
1/23/2016,2,0,81,0,0,41
1/23/2016,6,0,65,0,0,21
1/23/2016,4,0,33,0,0,1
1/24/2016,6,1,21,0,0,9
1/24/2016,14,429,1297,37,0,1409
1/24/2016,10,241,689,21,0,249
1/24/2016,16,377,1337,109,0,1297
1/24/2016,4,1,49,0,0,1
1/24/2016,13,469,913,65,0,913
1/24/2016,7,9,41,0,0,21
1/24/2016,11,337,1217,69,0,393
1/24/2016,8,5,313,0,0,61
1/24/2016,2,1,129,0,0,57
1/24/2016,0,5,417,0,0,101
1/24/2016,9,53,945,0,0,81
1/24/2016,15,365,1413,93,0,1313
1/24/2016,17,205,1525,93,0,1153
1/24/2016,18,137,1285,53,0,973
1/24/2016,12,457,721,65,0,533
1/24/2016,1,0,109,0,0,93
1/24/2016,3,0,97,0,0,29
1/24/2016,5,0,21,0,0,1
1/24/2016,23,0,729,0,0,245
1/24/2016,20,0,1097,73,0,665
1/24/2016,21,0,1013,0,0,569
1/24/2016,22,0,925,0,0,297
1/24/2016,19,0,869,53,0,721
1/25/2016,22,41,1037,0,0,477
1/25/2016,23,17,421,0,0,309
1/25/2016,21,97,1489,21,0,637
1/25/2016,19,581,2045,181,0,957
1/25/2016,20,321,1445,165,0,841
1/25/2016,7,0,305,0,0,49
1/25/2016,3,0,41,0,0,13
1/25/2016,18,0,2289,217,0,1185
1/25/2016,12,0,2381,265,0,1221
1/25/2016,10,0,2081,253,0,637
1/25/2016,9,0,1749,125,0,417
1/25/2016,4,0,101,0,0,1
1/25/2016,15,0,3137,305,0,1517
1/25/2016,16,0,2985,241,0,1425
1/25/2016,8,0,729,0,0,133
1/25/2016,11,0,2465,257,0,849
1/25/2016,17,0,3161,285,0,1529
1/25/2016,14,0,20525,329,0,1381
1/25/2016,0,0,401,0,0,165
1/25/2016,5,0,81,0,0,5
1/25/2016,1,0,145,0,0,61
1/25/2016,2,0,73,0,0,53
1/25/2016,6,0,161,0,0,17
1/25/2016,13,0,2813,345,0,1221
1/26/2016,11,1949,2893,361,0,841
1/26/2016,6,5,153,0,0,41
1/26/2016,7,5,333,0,0,37
1/26/2016,10,1041,2129,301,0,537
1/26/2016,16,1369,2977,269,0,1185
1/26/2016,0,1,889,0,0,173
1/26/2016,17,1161,2501,233,0,1217
1/26/2016,15,1449,3477,321,0,1165
